,split segundos,vector entrada,cantidad datos,,extraccion de caracteristicas,PCA (%),,,,,,,,,,,,,,
,,,train,test,,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,1,44100,243106,2968,26,12,12,12,13,13,14,15,15,16,17,17,18,20,21,23
1,2,88200,121700,1488,26,11,12,12,13,13,14,14,15,16,16,17,18,19,21,23
2,3,132300,81248,996,26,11,12,12,13,13,14,14,15,16,16,17,18,19,21,23
3,4,176400,61014,748,26,11,12,12,13,13,14,14,15,16,16,17,18,19,21,23
4,5,220500,48878,598,26,11,12,12,12,13,14,14,15,16,16,17,18,19,21,23
5,6,264600,40780,502,26,11,11,12,12,13,14,14,15,16,16,17,18,19,21,23
6,7,308700,34996,428,26,11,11,12,12,13,14,14,15,16,16,17,18,19,21,23
7,8,352800,30666,378,26,11,11,12,12,13,13,14,15,15,16,17,18,19,21,23
8,9,396900,27290,338,26,11,11,12,12,13,13,14,15,15,16,17,18,19,21,23
9,10,441000,24604,304,26,11,11,12,12,13,13,14,15,15,16,17,18,19,21,23
10,11,485100,22388,276,26,11,11,12,12,13,13,14,15,15,16,17,18,19,21,23
11,12,529200,20550,252,26,11,11,12,12,13,13,14,14,15,16,17,18,19,21,23
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
